,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,STATION_NAME
1049,3489167,730889540,12/26/2019,FORGERY,COMPLETED,FELONY,BROOKLYN,987772.0,191476.0,40.69224167400005,-73.987300996,"(40.69224167400005, -73.987300996)",JAY STREET-BOROUGH HALL
1136,3489255,606107651,12/29/2019,ROBBERY,COMPLETED,FELONY,BRONX,1020937.0,254605.0,40.86543854800004,-73.86736232099996,"(40.86543854800004, -73.86736232099996)",ALLERTON AVENUE
1158,3489277,522961469,12/27/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,988757.0,216332.0,40.760464910000046,-73.98373241099996,"(40.760464910000046, -73.98373241099996)",49 STREET
1220,3489340,860501657,12/26/2019,FORGERY,COMPLETED,FELONY,BRONX,1011485.0,237929.0,40.819702045000035,-73.90160301699996,"(40.819702045000035, -73.90160301699996)",PROSPECT AVENUE
1277,3489398,249535524,12/26/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,990886.0,213048.0,40.751449824000076,-73.97605054499998,"(40.751449824000076, -73.97605054499998)",42 ST.-GRAND CENTRAL
1374,3489501,152382885,12/23/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,MANHATTAN,999358.0,236472.0,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)",155 STREET
1386,3489513,799192617,12/22/2019,ROBBERY,COMPLETED,FELONY,QUEENS,1029239.0,201142.0,40.718658885000025,-73.83770522999998,"(40.718658885000025, -73.83770522999998)",75 AVENUE
1407,3489534,464842359,12/30/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,987263.0,209373.0,40.74136484500008,-73.98912845999998,"(40.74136484500008, -73.98912845999998)",23 STREET
1427,3489554,994245523,12/29/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,985764.0,213806.0,40.75353270100004,-73.99453689199999,"(40.75353270100004, -73.99453689199999)",42 ST.-TIMES SQUARE
1482,3489610,157996483,12/06/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
1552,3489680,795886786,12/30/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,1015183.0,181789.0,40.66559971500004,-73.88850054499993,"(40.66559971500004, -73.88850054499993)",VAN SICLEN AVENUE
1588,3489716,780856489,12/29/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,988451.0,217993.0,40.765024079000064,-73.98483594999993,"(40.76502407900006, -73.98483594999993)",59 ST.-COLUMBUS CIRCLE
1598,3489727,972814340,12/28/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,BRONX,1004749.0,240880.0,40.827819901000055,-73.92593075599996,"(40.827819901000055, -73.92593075599996)",161 ST.-YANKEE STADIUM
1632,3489761,127820546,12/24/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,988089.0,190305.0,40.689027417000034,-73.98615855199995,"(40.689027417000034, -73.98615855199995)",HOYT-SCHERMERHORN
1657,3489786,877644259,12/21/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,986354.0,205451.0,40.730600184000025,-73.99240998699997,"(40.730600184000025, -73.99240998699997)",8 ST.-NYU
1684,3489813,317682251,12/28/2019,ROBBERY,COMPLETED,FELONY,BRONX,1014468.0,238156.0,40.82031539600007,-73.89082460299994,"(40.82031539600007, -73.89082460299994)",HUNTS POINT AVENUE
1694,3489823,323325801,12/26/2019,FORGERY,COMPLETED,FELONY,QUEENS,1022285.0,212504.0,40.74987737400005,-73.86272726099996,"(40.74987737400005, -73.86272726099996)",103 ST.-CORONA PLAZA
1726,3489855,765043224,12/23/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,989284.0,211217.0,40.74642524500007,-73.98183391399994,"(40.74642524500007, -73.98183391399994)",33 STREET
1728,3489857,410539515,12/28/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,992033.0,215119.0,40.75713325800007,-73.97190835199996,"(40.75713325800007, -73.97190835199996)",51 STREET
1732,3489861,812310963,12/22/2019,ROBBERY,COMPLETED,FELONY,BROOKLYN,986754.0,191591.0,40.692557669000045,-73.99097189599996,"(40.692557669000045, -73.99097189599996)",BOROUGH HALL
1733,3489862,905864838,12/27/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,BROOKLYN,1002212.0,193214.0,40.69699455600005,-73.93522525599997,"(40.69699455600005, -73.93522525599997)",MYRTLE AVENUE
1749,3489878,670023881,12/29/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,986354.0,205451.0,40.730600184000025,-73.99240998699997,"(40.730600184000025, -73.99240998699997)",8 ST.-NYU
1767,3489896,178940447,12/24/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,984103.0,201020.0,40.71843841000003,-74.00053174199995,"(40.71843841000003, -74.00053174199996)",CANAL STREET
